league,season,game,date,home_team,away_team,B365H,B365D,B365A,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA
ENG-Premier League,2223,2023-03-04 Aston Villa-Crystal Palace,2023-03-04 15:00:00,Aston Villa,Crystal Palace,2.05,3.3,3.8,2.05,3.3,3.8,2.12,3.5,4.1,2.07,3.32,3.88,0.46767922346261037,0.28766536012241134,0.2446554164145181
ENG-Premier League,2223,2023-03-04 Brighton-West Ham,2023-03-04 15:00:00,Brighton,West Ham,1.8,3.6,4.5,1.75,3.7,4.5,1.84,4.0,4.9,1.79,3.8,4.61,0.5437251765033287,0.2510250626434648,0.20524976085364763
ENG-Premier League,2223,2023-03-04 Chelsea-Leeds United,2023-03-04 15:00:00,Chelsea,Leeds United,1.62,4.0,5.5,1.63,3.9,5.25,1.67,4.18,5.9,1.64,4.02,5.52,0.5939691283578545,0.23645950855158915,0.16957136309101703
ENG-Premier League,2223,2023-03-04 Manchester City-Newcastle Utd,2023-03-04 12:30:00,Manchester City,Newcastle Utd,1.45,4.5,7.0,1.44,4.4,7.0,1.52,4.8,7.0,1.48,4.59,6.76,0.658514480274309,0.20530994588236404,0.13617557384287948
ENG-Premier League,2223,2023-03-04 Southampton-Leicester City,2023-03-04 17:30:00,Southampton,Leicester City,2.75,3.3,2.6,2.7,3.25,2.6,2.89,3.5,2.73,2.77,3.31,2.64,0.34689622778596835,0.2886137954178639,0.36448997679663486
ENG-Premier League,2223,2023-03-04 Wolves-Tottenham,2023-03-04 15:00:00,Wolves,Tottenham,3.3,3.4,2.2,3.3,3.3,2.2,3.41,3.48,2.34,3.31,3.36,2.27,0.2891363023461438,0.2846859875108031,0.42617771014258315
ENG-Premier League,2223,2023-03-05 Liverpool-Manchester Utd,2023-03-05 16:30:00,Liverpool,Manchester Utd,2.38,3.6,2.88,2.38,3.6,2.75,2.5,3.92,2.97,2.4,3.68,2.85,0.40289013048586586,0.25937478855013735,0.33773508096445065
ENG-Premier League,2223,2023-03-05 Nott'ham Forest-Everton,2023-03-05 14:00:00,Nott'ham Forest,Everton,2.7,3.0,2.88,2.62,3.0,2.88,2.75,3.26,3.02,2.68,3.08,2.92,0.35944660499773073,0.3114704692229547,0.32908292577885206
ENG-Premier League,2223,2023-03-06 Brentford-Fulham,2023-03-06 20:00:00,Brentford,Fulham,1.95,3.6,3.75,2.0,3.5,3.6,2.05,3.83,3.92,2.0,3.65,3.71,0.48386958395228,0.26025609396334265,0.2558743220848331
ENG-Premier League,2223,2023-03-11 Bournemouth-Liverpool,2023-03-11 12:30:00,Bournemouth,Liverpool,7.5,5.0,1.4,7.0,4.6,1.42,7.5,5.3,1.46,7.07,4.95,1.43,0.12939459517121582,0.18923970651209263,0.6813656983162656
ENG-Premier League,2223,2023-03-11 Crystal Palace-Manchester City,2023-03-11 17:30:00,Crystal Palace,Manchester City,9.0,4.75,1.36,9.0,5.0,1.33,9.8,5.5,1.38,9.05,5.12,1.36,0.09926799701451078,0.18305072814071313,0.717681274844353
ENG-Premier League,2223,2023-03-11 Everton-Brentford,2023-03-11 15:00:00,Everton,Brentford,2.7,3.25,2.7,2.62,3.2,2.7,2.8,3.31,2.85,2.71,3.2,2.76,0.3541675724078005,0.29827760125058017,0.3475548263420921
ENG-Premier League,2223,2023-03-11 Leeds United-Brighton,2023-03-11 15:00:00,Leeds United,Brighton,3.75,3.6,1.95,3.75,3.6,1.95,4.1,3.86,2.02,3.84,3.67,1.97,0.24777575150987022,0.2597141862816393,0.49251006220896504
ENG-Premier League,2223,2023-03-11 Leicester City-Chelsea,2023-03-11 15:00:00,Leicester City,Chelsea,3.75,3.5,1.95,3.7,3.5,2.0,3.98,3.78,2.08,3.83,3.56,2.0,0.24799145592533284,0.26758222559791583,0.4844263184763052
ENG-Premier League,2223,2023-03-11 Tottenham-Nott'ham Forest,2023-03-11 15:00:00,Tottenham,Nott'ham Forest,1.44,4.75,7.0,1.42,4.4,7.5,1.48,4.8,8.0,1.44,4.62,7.52,0.6760981498996491,0.20316806887629407,0.12073378122362372
ENG-Premier League,2223,2023-03-12 Fulham-Arsenal,2023-03-12 14:00:00,Fulham,Arsenal,6.0,4.0,1.57,5.8,4.0,1.57,6.2,4.33,1.63,5.74,4.17,1.59,0.16175521370133106,0.22659246722381723,0.611652319075297
ENG-Premier League,2223,2023-03-12 Manchester Utd-Southampton,2023-03-12 14:00:00,Manchester Utd,Southampton,1.36,5.0,9.0,1.33,5.0,9.0,1.37,5.6,10.01,1.34,5.26,9.22,0.7269556670874255,0.17679251744545857,0.09625181546752527
ENG-Premier League,2223,2023-03-12 Newcastle Utd-Wolves,2023-03-12 16:30:00,Newcastle Utd,Wolves,1.65,3.75,5.5,1.67,3.7,5.25,1.72,3.97,5.8,1.67,3.81,5.47,0.5813971580764409,0.2486634588343742,0.16993938308874815
ENG-Premier League,2223,2023-03-12 West Ham-Aston Villa,2023-03-12 14:00:00,West Ham,Aston Villa,2.2,3.3,3.4,2.2,3.3,3.3,2.29,3.56,3.5,2.23,3.37,3.36,0.4331071551459262,0.28300960148060866,0.2838832433730116
ENG-Premier League,2223,2023-03-15 Brighton-Crystal Palace,2023-03-15 19:30:00,Brighton,Crystal Palace,1.44,4.2,8.0,1.44,4.2,7.5,1.49,4.7,8.0,1.46,4.44,7.58,0.6674207793902373,0.21238906117362535,0.12019015943655714
ENG-Premier League,2223,2023-03-15 Southampton-Brentford,2023-03-15 19:30:00,Southampton,Brentford,2.88,3.25,2.5,2.9,3.25,2.45,3.13,3.45,2.5,2.97,3.31,2.46,0.32172268617287436,0.28752821008204554,0.39074910374460714
ENG-Premier League,2223,2023-03-17 Nott'ham Forest-Newcastle Utd,2023-03-17 20:00:00,Nott'ham Forest,Newcastle Utd,5.5,3.8,1.62,5.5,3.7,1.65,6.0,3.96,1.74,5.58,3.83,1.67,0.16780866857917265,0.24885146409792386,0.5833398673233573
ENG-Premier League,2223,2023-03-18 Aston Villa-Bournemouth,2023-03-18 15:00:00,Aston Villa,Bournemouth,1.7,3.8,5.0,1.7,3.75,4.8,1.76,4.0,5.3,1.72,3.85,4.99,0.5651629353863847,0.24676630516762255,0.1880707594464404
ENG-Premier League,2223,2023-03-18 Brentford-Leicester City,2023-03-18 15:00:00,Brentford,Leicester City,1.91,3.6,3.75,1.95,3.6,3.75,2.01,3.89,4.1,1.95,3.7,3.85,0.49680639604220383,0.25680425055790834,0.24638935340034457
