game,date,home_team,away_team,FTHG,FTAG,H,D,A,PSH,PSD,PSA,pPSH,pPSD,pPSA
2019-11-02 Arsenal-Wolves,2019-11-02 15:00:00,Arsenal,Wolves,1,1,0,1,0,1.79,3.81,4.81,0.5474389342074676,0.253360697919144,0.19920036787293421
2019-11-02 Aston Villa-Liverpool,2019-11-02 15:00:00,Aston Villa,Liverpool,1,2,0,0,1,8.36,5.63,1.36,0.11060778723678853,0.16806975803213187,0.7213224547315304
2019-11-02 Bournemouth-Manchester Utd,2019-11-02 12:30:00,Bournemouth,Manchester Utd,1,0,1,0,0,3.41,3.6,2.19,0.2843734703213764,0.26900374157055296,0.4466227881076005
2019-11-02 Brighton-Norwich City,2019-11-02 15:00:00,Brighton,Norwich City,2,0,1,0,0,1.71,4.24,4.8,0.5734082577587988,0.22695067514821404,0.19964106709345755
2019-11-02 Manchester City-Southampton,2019-11-02 15:00:00,Manchester City,Southampton,2,1,1,0,0,1.08,13.13,33.77,0.910815665996789,0.06731555277254649,0.021868781230927344
2019-11-02 Sheffield Utd-Burnley,2019-11-02 15:00:00,Sheffield Utd,Burnley,3,0,1,0,0,2.33,3.26,3.43,0.4194354639663281,0.29783157262254484,0.2827329634106591
2019-11-02 Watford-Chelsea,2019-11-02 17:30:00,Watford,Chelsea,1,2,0,0,1,5.13,4.21,1.68,0.1867148948951051,0.22900707800210635,0.5842780271023368
2019-11-02 West Ham-Newcastle Utd,2019-11-02 15:00:00,West Ham,Newcastle Utd,2,3,0,0,1,1.79,3.87,4.69,0.5469599223643589,0.24893348312897878,0.20410659450713353
2019-11-03 Crystal Palace-Leicester City,2019-11-03 14:00:00,Crystal Palace,Leicester City,0,2,0,0,1,3.57,3.42,2.2,0.27151092851841835,0.28371299493420965,0.4447760765478383
2019-11-03 Everton-Tottenham,2019-11-03 16:30:00,Everton,Tottenham,1,1,0,1,0,2.74,3.55,2.63,0.3558506860223743,0.2731353949302816,0.3710139190468737
2019-11-08 Norwich City-Watford,2019-11-08 20:00:00,Norwich City,Watford,0,2,0,0,1,2.7,3.58,2.65,0.36116178848205177,0.270735016258353,0.36810319526007046
2019-11-09 Burnley-West Ham,2019-11-09 15:00:00,Burnley,West Ham,3,0,1,0,0,2.27,3.59,3.24,0.43061588805129414,0.2697514911155143,0.29963262083367415
2019-11-09 Chelsea-Crystal Palace,2019-11-09 12:30:00,Chelsea,Crystal Palace,2,0,1,0,0,1.34,5.41,9.74,0.7316714693143712,0.17484285862634522,0.09348567205887232
2019-11-09 Leicester City-Arsenal,2019-11-09 17:30:00,Leicester City,Arsenal,2,0,1,0,0,1.98,3.91,3.79,0.4958341731882846,0.24805929806973018,0.25610652874246626
2019-11-09 Newcastle Utd-Bournemouth,2019-11-09 15:00:00,Newcastle Utd,Bournemouth,2,1,1,0,0,2.69,3.25,2.88,0.36266452587731307,0.2990340105855962,0.3383014635375605
2019-11-09 Southampton-Everton,2019-11-09 15:00:00,Southampton,Everton,1,2,0,0,1,3.11,3.44,2.41,0.3126231558340923,0.2819871229736709,0.40538972119177075
2019-11-09 Tottenham-Sheffield Utd,2019-11-09 15:00:00,Tottenham,Sheffield Utd,1,1,0,1,0,1.6,4.21,6.09,0.6142226710090619,0.2292949567596141,0.1564823722317985
