key,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
2021-01-30 Aston Villa-Southampton,Southampton,Aston Villa,2021-01-30,20:00:00,Matchweek 21,Sat,Away,W,1,0,1,0,0.1,0.05,0.25,0.55,0.3,0.15,0.5,1.0,0.1,0.7,0.2,0.9,0.7,0.8,0.15,0.8,0.25,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,-0.24999999999999997,-0.5,-0.5,0.07500000000000007,-0.5,-0.35,-0.4,0.25,-0.8,0.19999999999999996,-0.3,0.050000000000000044,0.44999999999999996,0.20000000000000007,-0.6,-0.1499999999999999,-0.44999999999999996
2020-12-07 Brighton-Southampton,Southampton,Brighton,2020-12-07,20:00:00,Matchweek 11,Mon,Home,L,1,2,0,1,0.45,0.45,0.35,0.15,0.35,0.65,0.45,0.3,0.7,0.4,0.6,0.75,0.1,0.2,0.35,0.6,0.5,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.10000000000000003,-0.10000000000000003,-0.4,-0.32499999999999996,-0.45000000000000007,0.15000000000000002,-0.45,-0.45,-0.20000000000000007,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,-0.15,-0.39999999999999997,-0.4,-0.35,-0.19999999999999996
2021-03-14 Brighton-Southampton,Southampton,Brighton,2021-03-14,12:00:00,Matchweek 28,Sun,Away,W,2,1,1,0,0.45,0.45,0.35,0.15,0.35,0.65,0.45,0.3,0.7,0.4,0.6,0.75,0.1,0.2,0.35,0.6,0.5,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.10000000000000003,-0.10000000000000003,-0.4,-0.32499999999999996,-0.45000000000000007,0.15000000000000002,-0.45,-0.45,-0.20000000000000007,-0.09999999999999998,0.09999999999999998,-0.09999999999999998,-0.15,-0.39999999999999997,-0.4,-0.35,-0.19999999999999996
2020-09-26 Burnley-Southampton,Southampton,Burnley,2020-09-26,20:00:00,Matchweek 3,Sat,Home,L,0,1,0,1,0.4,0.65,0.45,0.4,0.6,0.05,1.0,0.95,0.5,0.15,0.05,0.2,0.5,0.65,0.55,0.05,0.15,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.050000000000000044,0.09999999999999998,-0.3,-0.07499999999999996,-0.20000000000000007,-0.45,0.09999999999999998,0.19999999999999996,-0.4,-0.35,-0.45,-0.6499999999999999,0.25,0.050000000000000044,-0.19999999999999996,-0.8999999999999999,-0.5499999999999999
2021-04-04 Burnley-Southampton,Southampton,Burnley,2021-04-04,12:00:00,Matchweek 30,Sun,Away,L,2,3,0,0,0.4,0.65,0.45,0.4,0.6,0.05,1.0,0.95,0.5,0.15,0.05,0.2,0.5,0.65,0.55,0.05,0.15,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.050000000000000044,0.09999999999999998,-0.3,-0.07499999999999996,-0.20000000000000007,-0.45,0.09999999999999998,0.19999999999999996,-0.4,-0.35,-0.45,-0.6499999999999999,0.25,0.050000000000000044,-0.19999999999999996,-0.8999999999999999,-0.5499999999999999
2020-10-17 Chelsea-Southampton,Southampton,Chelsea,2020-10-17,15:00:00,Matchweek 5,Sat,Home,D,3,3,0,1,0.05,0.8,0.95,0.6,0.75,0.9,0.15,0.1,0.8,1.0,0.9,0.25,0.8,0.45,0.8,0.85,0.95,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,-0.3,0.25,0.19999999999999996,0.125,-0.050000000000000044,0.4,-0.75,-0.65,-0.09999999999999998,0.5,0.4,-0.6,0.55,-0.14999999999999997,0.050000000000000044,-0.09999999999999998,0.25
2021-02-20 Chelsea-Southampton,Southampton,Chelsea,2021-02-20,12:30:00,Matchweek 25,Sat,Away,D,1,1,0,0,0.05,0.8,0.95,0.6,0.75,0.9,0.15,0.1,0.8,1.0,0.9,0.25,0.8,0.45,0.8,0.85,0.95,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,-0.3,0.25,0.19999999999999996,0.125,-0.050000000000000044,0.4,-0.75,-0.65,-0.09999999999999998,0.5,0.4,-0.6,0.55,-0.14999999999999997,0.050000000000000044,-0.09999999999999998,0.25
2020-09-12 Crystal Palace-Southampton,Southampton,Crystal Palace,2020-09-12,15:00:00,Matchweek 1,Sat,Home,W,1,0,1,1,0.9,0.35,0.1,0.325,0.2,0.3,0.8,0.9,0.45,0.2,0.45,0.5,0.4,0.55,1.0,1.0,0.2,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.55,-0.20000000000000007,-0.65,-0.14999999999999997,-0.6000000000000001,-0.2,-0.09999999999999998,0.15000000000000002,-0.45,-0.3,-0.04999999999999999,-0.35,0.15000000000000002,-0.04999999999999993,0.25,0.050000000000000044,-0.49999999999999994
2021-05-11 Crystal Palace-Southampton,Southampton,Crystal Palace,2021-05-11,20:15:00,Matchweek 32,Tue,Away,L,1,3,0,0,0.9,0.35,0.1,0.325,0.2,0.3,0.8,0.9,0.45,0.2,0.45,0.5,0.4,0.55,1.0,1.0,0.2,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.55,-0.20000000000000007,-0.65,-0.14999999999999997,-0.6000000000000001,-0.2,-0.09999999999999998,0.15000000000000002,-0.45,-0.3,-0.04999999999999999,-0.35,0.15000000000000002,-0.04999999999999993,0.25,0.050000000000000044,-0.49999999999999994
2020-10-25 Everton-Southampton,Southampton,Everton,2020-10-25,14:00:00,Matchweek 6,Sun,Away,L,0,2,0,0,0.25,0.7,0.65,0.2,0.4,0.45,0.75,0.55,0.65,0.75,0.3,0.8,0.15,0.7,0.9,0.35,0.4,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,-0.09999999999999998,0.1499999999999999,-0.09999999999999998,-0.27499999999999997,-0.4,-0.04999999999999999,-0.15000000000000002,-0.19999999999999996,-0.25,0.25,-0.2,-0.04999999999999993,-0.1,0.09999999999999998,0.15000000000000002,-0.6,-0.29999999999999993
2021-03-01 Everton-Southampton,Southampton,Everton,2021-03-01,20:00:00,Matchweek 26,Mon,Home,W,1,0,1,1,0.25,0.7,0.65,0.2,0.4,0.45,0.75,0.55,0.65,0.75,0.3,0.8,0.15,0.7,0.9,0.35,0.4,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,-0.09999999999999998,0.1499999999999999,-0.09999999999999998,-0.27499999999999997,-0.4,-0.04999999999999999,-0.15000000000000002,-0.19999999999999996,-0.25,0.25,-0.2,-0.04999999999999993,-0.1,0.09999999999999998,0.15000000000000002,-0.6,-0.29999999999999993
2020-12-26 Fulham-Southampton,Southampton,Fulham,2020-12-26,15:00:00,Matchweek 15,Sat,Home,D,0,0,0,1,0.9,0.4,0.3,0.05,0.35,0.6,0.45,0.5,0.5,0.2,0.6,0.45,0.95,0.85,0.8,0.95,0.45,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7,0.55,-0.15000000000000002,-0.45,-0.425,-0.45000000000000007,0.09999999999999998,-0.45,-0.25,-0.4,-0.3,0.09999999999999998,-0.39999999999999997,0.7,0.25,0.050000000000000044,0.0,-0.24999999999999994
