key,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
2022-02-25 Southampton-Norwich City,Norwich City,Southampton,2022-02-25,20:00:00,Matchweek 27,Fri,Home,W,2,0,1,1,1.54,4.37,6.22,0.6323905516602758,0.21889180749287848,0.14871764084725014,0.15,0.35,0.35,0.8,0.4,0.5,0.8,0.65,0.9,0.6,0.75,0.1,0.85,0.05,1.0,0.8,0.2,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.0,0.3,0.3,0.75,0.35000000000000003,0.25,0.4,-0.15000000000000002,0.85,0.5,0.45,-0.1,0.0,-0.6499999999999999,0.9,0.35000000000000003,0.15000000000000002
2021-12-05 Tottenham-Norwich City,Norwich City,Tottenham,2021-12-05,14:00:00,Matchweek 15,Sun,Home,W,3,0,1,1,1.41,4.75,8.11,0.6893409873339378,0.20916285665389003,0.10149615601180488,0.85,0.6,0.65,0.95,0.3,0.65,0.55,0.45,0.55,0.8,0.65,0.15,0.5,0.3,0.35,0.65,0.7,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.7,0.5499999999999999,0.6,0.8999999999999999,0.25,0.4,0.15000000000000002,-0.35000000000000003,0.5,0.7000000000000001,0.35000000000000003,-0.05000000000000002,-0.35,-0.39999999999999997,0.24999999999999997,0.2,0.6499999999999999
2022-05-22 Tottenham-Norwich City,Norwich City,Tottenham,2022-05-22,16:00:00,Matchweek 38,Sun,Away,W,5,0,1,0,1.26,6.45,11.19,0.7706163406204961,0.1472189303842917,0.08216472899490387,0.85,0.6,0.65,0.95,0.3,0.65,0.55,0.45,0.55,0.8,0.65,0.15,0.5,0.3,0.35,0.65,0.7,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.7,0.5499999999999999,0.6,0.8999999999999999,0.25,0.4,0.15000000000000002,-0.35000000000000003,0.5,0.7000000000000001,0.35000000000000003,-0.05000000000000002,-0.35,-0.39999999999999997,0.24999999999999997,0.2,0.6499999999999999
2021-09-18 Watford-Norwich City,Norwich City,Watford,2021-09-18,15:00:00,Matchweek 5,Sat,Away,W,3,1,1,0,3.47,3.39,2.18,0.26862926610863597,0.285709743072382,0.4456609908185311,0.05,0.15,0.25,0.15,0.25,0.2,0.85,0.9,0.1,0.3,0.1,0.75,0.75,1.0,0.45,0.85,0.35,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,-0.09999999999999999,0.09999999999999999,0.2,0.09999999999999999,0.2,-0.04999999999999999,0.44999999999999996,0.09999999999999998,0.05,0.19999999999999998,-0.19999999999999998,0.55,-0.09999999999999998,0.30000000000000004,0.35,0.39999999999999997,0.3
2022-01-21 Watford-Norwich City,Norwich City,Watford,2022-01-21,20:00:00,Matchweek 23,Fri,Home,L,0,3,0,1,2.07,3.52,3.63,0.46594333248053527,0.2750742242340379,0.25898244328585324,0.05,0.15,0.25,0.15,0.25,0.2,0.85,0.9,0.1,0.3,0.1,0.75,0.75,1.0,0.45,0.85,0.35,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,-0.09999999999999999,0.09999999999999999,0.2,0.09999999999999999,0.2,-0.04999999999999999,0.44999999999999996,0.09999999999999998,0.05,0.19999999999999998,-0.19999999999999998,0.55,-0.09999999999999998,0.30000000000000004,0.35,0.39999999999999997,0.3
2022-01-12 West Ham-Norwich City,Norwich City,West Ham,2022-01-12,19:45:00,Matchweek 18,Wed,Home,W,2,0,1,1,1.31,5.52,10.28,0.7430921397689734,0.1818870575808837,0.07502080265045453,0.45,0.65,0.7,0.7,0.6,0.3,0.6,0.75,0.15,0.65,0.3,0.9,0.75,0.9,0.15,0.5,0.75,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.30000000000000004,0.6,0.6499999999999999,0.6499999999999999,0.5499999999999999,0.04999999999999999,0.19999999999999996,-0.050000000000000044,0.09999999999999999,0.55,0.0,0.7,-0.09999999999999998,0.20000000000000007,0.04999999999999999,0.04999999999999999,0.7
2022-05-08 West Ham-Norwich City,Norwich City,West Ham,2022-05-08,14:00:00,Matchweek 36,Sun,Away,W,4,0,1,0,1.8,3.81,4.51,0.5311267826034272,0.2502553376670974,0.2186178797290509,0.45,0.65,0.7,0.7,0.6,0.3,0.6,0.75,0.15,0.65,0.3,0.9,0.75,0.9,0.15,0.5,0.75,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.30000000000000004,0.6,0.6499999999999999,0.6499999999999999,0.5499999999999999,0.04999999999999999,0.19999999999999996,-0.050000000000000044,0.09999999999999999,0.55,0.0,0.7,-0.09999999999999998,0.20000000000000007,0.04999999999999999,0.04999999999999999,0.7
2021-11-27 Wolves-Norwich City,Norwich City,Wolves,2021-11-27,15:00:00,Matchweek 13,Sat,Away,D,0,0,0,0,2.17,3.35,3.54,0.4426734222680463,0.28304951923880556,0.274277058492699,0.4,0.55,0.2,0.375,0.55,0.45,0.4,0.55,0.35,0.45,0.5,0.25,1.0,0.95,0.95,0.35,0.1,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.25,0.5,0.15000000000000002,0.325,0.5,0.2,0.0,-0.25,0.3,0.35,0.2,0.04999999999999999,0.15000000000000002,0.25,0.85,-0.10000000000000003,0.05
2022-05-15 Wolves-Norwich City,Norwich City,Wolves,2022-05-15,14:00:00,Matchweek 37,Sun,Home,D,1,1,0,1,1.46,4.58,7.25,0.6699874775305074,0.21297659276944347,0.11703592970045242,0.4,0.55,0.2,0.375,0.55,0.45,0.4,0.55,0.35,0.45,0.5,0.25,1.0,0.95,0.95,0.35,0.1,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.25,0.5,0.15000000000000002,0.325,0.5,0.2,0.0,-0.25,0.3,0.35,0.2,0.04999999999999999,0.15000000000000002,0.25,0.85,-0.10000000000000003,0.05
2021-12-11 Arsenal-Southampton,Southampton,Arsenal,2021-12-11,15:00:00,Matchweek 16,Sat,Home,W,3,0,1,1,1.67,3.99,5.32,0.589550322738139,0.2376546165539664,0.17279506070831568,0.65,0.775,0.55,0.6,0.65,0.8,0.15,0.2,0.45,0.25,0.8,0.75,0.2,0.25,0.1,0.1,0.25,0.15,0.35,0.35,0.8,0.4,0.5,0.8,0.65,0.9,0.6,0.75,0.1,0.85,0.05,1.0,0.8,0.2,0.5,0.42500000000000004,0.20000000000000007,-0.20000000000000007,0.25,0.30000000000000004,-0.65,-0.45,-0.45,-0.35,0.050000000000000044,0.65,-0.6499999999999999,0.2,-0.9,-0.7000000000000001,0.04999999999999999
